carrier	model	os_version	pre-install browser	Chrome for Android
docomo	SH-04D	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; SH-04D Build/S1230) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SH-04E			
docomo	SH-06D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; SH-06D Build/S5081) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SH-06D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SH-06D Build/R9030) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 "	"Mozilla/5.0 (Linux; Android 4.0.4; SH-06D Build/S9030) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SH-06DNERV			
docomo	SH-06DNERV	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SH-06DNERV Build/R9061) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SH-07D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SH-07D Build/S5230) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SH-07D Build/S5230) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SH-09D	4.0.4		"Mozilla/5.0 (Linux; Android 4.0.4; SH-09D Build/S6130) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SH-10B	1.6	"Mozilla/5.0 (Linux; U; Android 1.6; ja-jp; SH-10B Build/S7023) AppleWebKit/528.5+ (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1"	
docomo	SH-10D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SH-10D Build/S8130) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SH-10D Build/S8130) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SH-12C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SH-13C	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; SH-13C Build/S7160) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SonyEricssonSO-01B	2.1-update1	"Mozilla/5.0 (Linux; U; Android 2.1-update1; ja-jp; SonyEricssonSO-01B Build/2.0.B.0.138) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17"	
docomo	SonyEricssonSO-01B	2.1-update1	"Mozilla/5.0 (Linux; U; Android 2.1-update1; ja-jp; SonyEricssonSO-01B Build/2.0.1.B.0.19) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17"	
docomo	SonyEricssonSO-01C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SonyEricssonSO-01C Build/3.0.1.F.0.126) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SonyEricssonSO-01C	2.3.2	"Mozilla/5.0 (Linux; U; Android 2.3.2; ja-jp; SonyEricssonSO-01C Build/3.0.D.2.79) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SonyEricssonSO-01D			
docomo	SonySO-01E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonySO-01E Build/9.0.G.0.238) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SonyEricssonSO-02C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SonyEricssonSO-02C Build/3.0.1.F.0.126) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SonyEricssonSO-02D			
docomo	SonyEricssonSO-02D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonyEricssonSO-02D Build/6.1.F.0.106) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SO-02E			
docomo	SonyEricssonSO-03C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SonyEricssonSO-03C Build/4.0.D.2.61) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SonyEricssonSO-03D	2.3.7	"Mozilla/5.0 (Linux; U; Android 2.3.7; ja-jp; SonyEricssonSO-03D Build/6.0.A.5.6) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SonyEricssonSO-03D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonyEricssonSO-03D Build/6.1.F.0.106) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SonySO-04D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonySO-04D Build/7.0.D.1.117) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SO-04D	4.0.4		"Mozilla/5.0 (Linux; Android 4.0.4; SO-04D Build/7.0.D.1.117) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SonySO-05D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonySO-05D Build/7.0.D.1.117) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SO-05D	4.0.4		"Mozilla/5.0 (Linux; Android 4.0.4; SO-05D Build/7.0.D.1.117) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	Sony Tablet P			
docomo	Sony Tablet S			
docomo	T-01C	2.2.2	"Mozilla/5.0 (Linux; U; Android 2.2.2; ja-jp; T-01C Build/FFR002) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	T-01D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; T-01D Build/V39R38A) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	T-01D	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; T-01D Build/V09R40A) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	T-02D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; T-02D Build/V15R47B) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; T-02D Build/V17R48D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	CAL21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; CAL21 Build/A1000091) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; CAL21 Build/A1000091) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	FJL21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; FJL21 Build/V23R39X) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; FJL21 Build/V23R39X) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	HTL21	4.1.1	"Mozilla/5.0 (Linux; U; Android 4.1.1; ja-jp; HTL21 Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.1.1; HTL21 Build/JRO03C) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	INFOBAR A01	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; INFOBAR A01 Build/S6160) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	INFOBAR C01	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; INFOBAR C01 Build/S1190) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS01	1.6	"Mozilla/5.0 (Linux; U; Android 1.6; ja-jp; IS01 Build/S6191) AppleWebKit/528.5+ (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1"	
au	IS03	2.2.1	"Mozilla/5.0 (Linux; U; Android 2.2.1; ja-jp; IS03 Build/S3251) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS04	2.2.2	"Mozilla/5.0 (Linux; U; Android 2.2.2; ja-jp; IS04 Build/FFK300) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS05	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; IS05 Build/S9290) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS06	2.2.1	"Mozilla/5.0 (Linux; U; Android 2.2.1; ja-jp; IS06 Build/FRG83) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS11CA	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; IS11CA Build/01.08.00) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS11LG	2.3.7	"Mozilla/5.0 (Linux; U; Android 2.3.7; ja-jp; IS11LG Build/GWK74) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS11LG	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; IS11LG Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; IS11LG Build/IMM76L) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	IS11N	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; IS11N Build/01.02.00) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS11PT	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; IS11PT Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	SonyEricssonIS11S	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; SonyEricssonIS11S Build/4.0.1.B.0.112) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS11SH	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; IS11SH Build/S6160) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS11T	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; IS11T Build/FGK400) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS12F	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; IS12F Build/FGK600) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS12M	2.3.6	"Mozilla/5.0 (Linux; U;Android 2.3.6; ja-jp; IS12M Build/6.5.1-134_SWK-68_LE-18) AppleWebKit/533.1(KHTML, like Gecko)Version/4.0 Mobile Safari/533.1"	
au	IS12M	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; IS12M Build/6.7.5-25_LE-8) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; IS12M Build/6.7.5-25_LE-8) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	SonyEricssonIS12S	2.3.7	"Mozilla/5.0 (Linux; U; Android 2.3.7; ja-jp; SonyEricssonIS12S Build/6.0.D.0.270) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	SonyEricssonIS12S	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonyEricssonIS12S Build/6.1.D.0.170) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
au	IS12S	4.0.4		"Mozilla/5.0 (Linux; Android 4.0.4; IS12S Build/6.1.D.1.74) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	IS12SH	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; IS12SH Build/S6160) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS13SH	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; IS13SH Build/SA310) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS14SH	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; IS14SH Build/SC100) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	IS15SH	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; IS15SH Build/S6230) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; IS15SH Build/S6230) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	IS17SH	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; IS17SH Build/S7070) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
au	ISW11F	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; ISW11F Build/FGK500) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	ISW11F	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; ISW11F Build/FIK700) AppleWebKit/534.301 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.3; ISW11F Build/FIK700) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	ISW11HT	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; ISW11HT Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	ISW11K	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; ISW11K Build/134.3.0005) AppleWebkit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	ISW11M	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; ISW11M Build/4.5.1A-1_KDI-92_LE-24) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	ISW11SC	2.3.6	"Mozilla/5.0 (Linux; U; Android 2.3.6; ja-jp; ISW11SC Build/ GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	ISW11SC	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; ISW11SC Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; ISW11SC Build/IMM76D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	ISW12HT	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; ISW12HT Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
au	ISW12HT	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; ISW12HT Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
au	ISW13F	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; ISW13F Build/V51R37G) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.3; ISW13F Build/V69R51I) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	ISW13HT	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; ISW13HT Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
au	ISW16SH	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; ISW16SH Build/S6151) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; ISW16SH Build/S8100) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	KYL21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; KYL21 Build/015.3.3510) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; KYL21 Build/015.3.3510) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	LGL21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; LGL21 Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; LGL21 Build/IMM76L) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	PTL21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; PTL21 Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; PTL21 Build/IMM76I) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	SCL21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SCL21 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SCL21 Build/IMM76D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	SHL21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SHL21 Build/SA132) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SHL21 Build/SA132) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	SHT21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SHT21 Build/SB221) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SHT21 Build/SB221) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Safari/535.19"
au	SonySOL21	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonySOL21 Build/9.0.F.0.195) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
au	SOL21	4.0.4		"Mozilla/5.0 (Linux; Android 4.0.4; SOL21 Build/9.0.F.0.195) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
au	URBANO PROGRESSO	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; URBANO PROGRESSO Build/008.2.2400) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.3; URBANO PROGRESSO Build/010.0.3000) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
