carrier	model	os_version	pre-install browser	Chrome for Android
Softbank	SBM102SH2	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; SBM102SH2 Build/S0002) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	SBM102SH2	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SBM102SH2 Build/S1010) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
Softbank	SBM103SH	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; SBM103SH Build/S0012) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	SBM104SH	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; SBM104SH Build/S0026) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.3; SBM104SH Build/S0026) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
Softbank	SBM106SH	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SBM106SH Build/S0020) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SBM106SH Build/S0020) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
Softbank	SBM107SH	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SBM107SH Build/S0010) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SBM107SH Build/S0006) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
Softbank	SBM200SH	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SBM200SH Build/EC030) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
Softbank	SBM203SH			
docomo	Docomo HT-03A	1.6	"Mozilla/5.0 (Linux; U; Android 1.6; ja-jp; Docomo HT-03A Build/DRD08) AppleWebKit/528.5+(KHTML, like Gecko) Version/3.1.2 Mobile Safari/ 525.20.1"	
docomo	F-01D	3.2	"Mozilla/5.0 (Linux; U; Android 3.2; ja-jp; F-01D Build/F0001) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13"	
docomo	F-01D	4.0.3	"Mozilla/5.0 (Linux; U; Android 4.0.3; ja-jp; F-01D Build/V08R31A) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"	
docomo	F-03D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; F-03D Build/V21R28E) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	F-03D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; F-03D Build/V22R29Bc) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	F-03E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; F-03E Build/V16R24A) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; F-03E Build/V16R24A) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	F-04E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; F-04E Build/V10R27E) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; F-04E Build/V10R27E) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
